时间,常驻人口总量,区域生产总值,一次能源中化石的能源消费量,一次能源中非化石的能源消费量,二次能源的能源消费量,化石能源发电的能源消费量,非化石能源发电的能源消费量,农林消费部门的碳排放量,工业消费部门的碳排放量,交通消费部门的碳排放量,建筑消费部门的碳排放量,居民生活消费部门的碳排放量,能源供应部门的碳排放量,碳排放量
2010,7869.34,41383.87,22690.24,161.41,687.66,9665.01,687.66,896.0696974,45225.6968,3068.030574,2830.253612,4340.001163,29566.16266,85926.2145
2011,8022.99,45952.65,26006.93,176.31,676.79,11455.08,676.79,1031.176452,52975.78688,3280.292325,3304.264115,4601.82246,38860.29619,104053.6384
2012,8119.81,50660.2,26975.09,239.03,785.1,11999.25,785.1,1165.275005,54048.28159,3561.729529,3586.044942,5141.282313,40659.78906,108162.4024
2013,8192.44,55580.11,26972.95,280.24,949.92,12503.04,949.92,1007.477719,52229.08417,3847.155716,3944.316621,5721.34147,36054.75911,102804.1348
2014,8281.09,60359.43,26667.6,319.75,1183.16,11570.07,1183.16,1020.85275,51187.98001,4157.352168,3518.724615,4968.3665,31568.95507,96422.23111
2015,8315.11,65552,27528.7,332.36,1172.55,12091.49,1172.55,1162.511995,51101.87344,4398.073048,3916.457539,5495.893932,34161.92046,100236.7304
2016,8381.47,70665.70683,28334.27,315.97,1297.74,12814.12,1297.74,1211.033579,52382.22379,4556.294269,4244.721555,6131.851477,35987.83323,104513.9579
2017,8423.5,75752.20149,28734.47,341.66,1593.75,13355.71,1593.75,1245.019174,52975.84927,4826.105744,4697.909213,6706.673989,38061.8761,108513.4335
2018,8446.19,80827.71193,29034.61,376.37,1962.15,13195.22,1962.15,1295.487242,52506.88057,5125.16509,5296.948286,7277.521668,39927.74317,111429.746
2019,8469.09,85556.13387,29629.24,391.53,2206.73,13128.03,2206.73,1278.384174,54235.43897,5449.651363,5701.30577,7431.550806,39346.13521,113442.4663
2020,8477.26,88683.21463,28699.99,354.01,2384,12397.72,2384,1238.759045,52954.0489,5456.836404,5449.1911,7534.488798,38859.61645,111492.9407
