时间,煤炭的能源消费量,油品的能源消费量,天然气的能源消费量,新能源热力的能源消费量,新能源电力的能源消费量,外地调入电的能源消费量,其他新能源的能源消费量
2010,17982.69,3748.36,959.19,0.00,238.98,161.41,448.68
2011,21012.33,3748.19,1246.41,0.00,248.21,176.31,428.58
2012,21174.77,4295.95,1504.37,0.00,265.80,239.03,519.30
2013,21223.47,4094.58,1654.89,0.00,271.92,280.24,678.00
2014,20543.24,4426.08,1698.28,0.00,366.22,319.75,816.94
2015,20859.11,4476.00,2193.58,0.00,326.08,332.36,846.47
2016,21450.19,4588.35,2295.72,0.00,376.50,315.97,921.23
2017,21061.47,4514.01,3158.99,0.00,496.07,341.66,1097.68
2018,20652.09,4712.84,3669.68,0.00,697.74,376.37,1264.41
2019,21069.32,4731.96,3827.96,0.00,857.41,391.53,1349.32
2020,20292.67,4699.90,3707.41,0.00,963.07,354.01,1420.93
