,主成分1,主成分2,主成分3,主成分4,主成分5,主成分6,主成分7,主成分8,主成分9
常驻人口总量,0.3452112078666687,0.3428043723106384,0.3339848816394806,0.3443044424057007,0.3405504524707794,0.3451833128929138,0.26533910632133484,0.33157509565353394,0.34314706921577454
区域生产总值,0.06488389521837234,0.2231338769197464,0.07679887115955353,0.18829718232154846,0.2482956498861313,-0.1080525815486908,-0.8457371592521667,-0.26208555698394775,0.21762627363204956
第一产业的生产总值,0.26325297355651855,-0.2765274941921234,0.4721677601337433,-0.26032254099845886,-0.3184671103954315,0.19951219856739044,-0.389834463596344,0.4693550765514374,-0.22367092967033386
第二产业的生产总值,0.20735453069210052,0.005345948040485382,0.6791967153549194,-0.06391450762748718,0.01353523787111044,-0.39030250906944275,0.24523493647575378,-0.5129672288894653,-0.1256483793258667
第三产业的生产总值,0.8276446461677551,-0.05615226924419403,-0.4175166189670563,0.21214985847473145,-0.1906118094921112,-0.13324309885501862,0.00865917932242155,-0.1041579619050026,-0.1658707857131958
区域能耗,0.004676742013543844,-0.2972116768360138,0.05055709928274155,0.07982780039310455,-0.5241659283638,0.030089357867836952,0.0341513492166996,-0.1546560525894165,0.7758703231811523
第一产业的能耗,-0.2712143361568451,0.03498420491814613,0.14382849633693695,0.7801362872123718,-0.39036768674850464,0.12668532133102417,-0.03040177933871746,-0.05102093145251274,-0.35207399725914
第二产业的能耗,0.07580579072237015,-0.04982737824320793,-0.01431419886648655,-0.18026907742023468,0.02236650139093399,0.8014509677886963,-0.006868212483823299,-0.5482417941093445,-0.12501493096351624
第三产业的能耗,-1.302937868707943e-09,-0.8130226731300354,0.023190990090370178,0.28575530648231506,0.5067545771598816,-2.584030482921662e-07,-1.19339267357077e-08,1.9229440795243136e-07,-5.022855020797579e-09
特征值,8.153157234191895,0.5483027696609497,0.18476927280426025,0.09488271176815033,0.013325992971658707,0.004629435017704964,0.0008165213512256742,0.00011609139619395137,-1.7338662521644061e-16
贡献率,0.9059063564193132,0.06092252976492495,0.020529919133951774,0.010542523495634318,0.0014806658809421636,0.0005143816669671718,9.072459428666223e-05,1.2899043979754329e-05,-1.9265180517180965e-17
累计贡献率,0.9059063564193132,0.9668288861842381,0.9873588053181899,0.9979013288138242,0.9993819946947664,0.9998963763617336,0.9999871009560203,1.0,1.0
