时间,区域生产总值预测值,常驻人口总量预测值,能源消费量预测值
2010,41176.4910889901,7964.95776048582,25316.7964803651
2011,46049.7970302831,8033.78728496004,26136.0713881478
2012,50923.1029715762,8100.18123834115,26930.6031911373
2013,55796.4089128673,8164.13962062448,27700.3918893635
2014,60669.7148541603,8225.66243181191,28445.4374828041
2015,65543.0207954533,8284.74967190344,29165.7399714813
2016,70416.3267367464,8341.40134089906,29861.2993553728
2017,75289.6326780394,8395.61743880063,30532.1156345010
2018,80162.9386193324,8447.39796560444,31178.1888088360
2019,85036.2445606235,8496.74292131327,31799.5188784152
2020,89909.5505019166,8543.65230592620,32396.1058432013
2021,94782.8564432096,8588.12611944228,32967.9497032315
2022,99656.1623845026,8630.16436186526,33515.0504584834
2023,104529.468325796,8669.76703319047,34037.4081089497
2024,109402.774267087,8706.93413342070,34535.0226546526
2025,114276.080208380,8741.66566255409,35007.8940955624
2026,119149.386149673,8773.96162059344,35456.0224317163
2027,124022.692090966,8803.82200753596,35879.4076630771
2028,128895.998032259,8831.24682338163,36278.0497896820
2029,133769.303973552,8856.23606813233,36651.9488114938
2030,138642.609914843,8878.78974178713,37001.1047285497
2031,143515.915856136,8898.90784434788,37325.5175408125
2032,148389.221797429,8916.59037581086,37625.1872483119
2033,153262.527738722,8931.83733617887,37900.1138510257
2034,158135.833680015,8944.64872545004,38150.2973489761
2035,163009.139621306,8955.02454362623,38375.7377421409
2036,167882.445562599,8962.96479070839,38576.4350305423
2037,172755.751503892,8968.46946669184,38752.3892141506
2038,177629.057445185,8971.53857158031,38903.6002930030
2039,182502.363386478,8972.17210537288,39030.0682670698
2040,187375.669327769,8970.37006807048,39131.7931363657
2041,192248.975269062,8966.13245967310,39208.7749008834
2042,197122.281210355,8959.45928017795,39261.0135606304
2043,201995.587151648,8950.35052958783,39288.5091155916
2044,206868.893092941,8938.80620790180,39291.2615657970
2045,211742.199034235,8924.82631511986,39269.2709112093
2046,216615.504975526,8908.41085124388,39222.5371518582
2047,221488.810916819,8889.55981627014,39151.0602877215
2048,226362.116858112,8868.27321020048,39054.8403188214
2049,231235.422799405,8844.55103303492,38933.8772451505
2050,236108.728740698,8818.39328477439,38788.1710666865
2051,240982.034681989,8789.79996541981,38617.7217834592
2052,245855.340623282,8758.77107496653,38422.5293954462
2053,250728.646564575,8725.30661341827,38202.5939026698
2054,255601.952505868,8689.40658077411,37957.9153051078
2055,260475.258447161,8651.07097703405,37688.4936027825
2056,265348.564388454,8610.29980220087,37394.3287956715
2057,270221.870329745,8567.09305626899,37075.4208837971
2058,275095.176271038,8521.45073924214,36731.7698671296
2059,279968.482212331,8473.37285111845,36363.3757457063
2060,284841.788153624,8422.85939189978,35970.2385194898
