时间,常驻人口总量,区域生产总值,能源消费量,碳排放量,能源利用效率,非化石能源消费比重
2020,7946.64927589521,34032.6906305365,24954.8484960543,111492.9407,3.5464387270182582,0.08709237228831351
2021,8027.72487284429,40268.4409254063,25932.0895280577,114276.775816679,3.49201011240882,0.105574572653802
2022,8103.46841290779,46504.1912202742,26855.1617139643,115423.353103608,3.48641550126441,0.114727268417318
2023,8173.87989608757,52739.9415151421,27724.0650537387,116447.988384694,3.48294082285755,0.124146563119714
2024,8238.95932238176,58975.6918100119,28538.7995474376,117350.681660056,3.48150758639199,0.133870104635722
2025,8298.70669179410,65211.4421048798,29299.3651950033,118131.432929665,3.48205963586968,0.143937123328857
2026,8353.12200432085,71447.1923997477,30005.7619964574,118790.242193460,3.48456136337686,0.154388992037375
2027,8402.20525996387,77682.9426946156,30657.9899518308,119327.109451532,3.48899648757881,0.165269812796802
2028,8445.95645872317,83918.6929894853,31256.0490610613,119742.034703851,3.49536733167324,0.176627048587718
2029,8484.37560059689,90154.4432843532,31799.9393241974,120035.017950326,3.50369455997545,0.188512219564509
2030,8517.46268558502,96390.1935792211,32289.6607411979,120206.059191078,3.51401735404690,0.200981685466466
2031,8545.21771368943,102625.943874091,32725.2133121258,120255.158426076,3.52639402906106,0.214097539308531
2032,8567.64068491198,108861.694168959,33106.5970369130,120182.315655231,3.54090311100791,0.227928642252576
2033,8584.73159925081,115097.444463827,33433.8119156314,119987.530878693,3.55764491590353,0.242551836091915
2034,8596.49045670405,121333.194758695,33706.8579481887,119670.804096401,3.57674369591087,0.258053378510106
2035,8602.91725727357,127568.945053564,33925.7351346770,119232.135308236,3.59835044526748,0.274530657937110
2036,8604.01200095750,133804.695348432,34090.4434750266,118671.524514407,3.62264649362340,0.292094260360018
2037,8599.77468775958,140040.445643300,34200.9829692720,117988.971714765,3.64984805912139,0.310870481297758
2038,8590.20531767607,146276.195938168,34257.3536174037,117184.476909310,3.68021199190403,0.331004404261069
2039,8575.30389070883,152511.946233038,34259.5554194562,116258.040098161,3.71404301723349,0.352663705340218
2040,8555.07040685788,158747.696527906,34207.5883753514,115209.661281228,3.75170289375512,0.376043396203665
2041,8529.50486611761,164983.446822774,34101.4524851879,114039.340458483,3.79362205010944,0.401371791055972
2042,8498.60726849735,171219.197117643,33941.1477488922,112747.077630013,3.84031446933164,0.428918086176462
2043,8462.37761399336,177454.947412511,33726.6741664745,111332.872795761,3.89239688507256,0.459002087778789
2044,8420.81590260565,183690.697707379,33458.0317379786,109796.725955695,3.95061377869901,0.492006836880751
2045,8373.92213433236,189926.448002247,33135.2204633234,108138.637109935,4.01587029203321,0.528395193185604
2046,8321.69630917534,196162.198297117,32758.2403426040,106358.606258392,4.08927610589630,0.568731908979140
2047,8264.13842713460,202397.948591985,32327.0913757347,104456.633401006,4.17220476283038,0.613713439845937
2048,8201.24848821014,208633.698886853,31841.7735628001,102432.718537927,4.26637513710539,0.664208854644902
2049,8133.02649240009,214869.449181722,31302.2869037092,100286.861669064,4.37396530587503,0.721316987476316
2050,8059.47243970633,221105.199476590,30708.6313985577,98019.0627943873,4.49777489003425,0.786447890192701
2051,7980.58633012883,227340.949771458,30060.8070472367,95629.3219139874,4.64146174036761,0.861441561724419
2052,7896.36816366762,233576.700066326,29358.8138498552,93117.6390278339,4.80989594014189,0.948745503209092
2053,7806.81794031709,239812.450361196,28602.6518063266,90484.0141358376,5.00970504019820,1.05168816561663
2054,7711.93566008657,246048.200656064,27792.3209167393,87728.4472381473,5.25014293739028,1.17491468937055
2055,7611.72132297233,252283.950950932,26927.8211809937,84850.9383346736,5.54453109366673,1.32510964895355
2056,7506.17492897436,258519.701245800,26009.1525991689,81851.4874253869,5.91276614031812,1.51225454782487
2057,7395.29647809081,264755.451540669,25036.3151712008,78730.0945103765,6.38594385396499,1.75194659361950
2058,7279.08597032353,270991.201835537,24009.3088971600,75486.7595895827,7.01552443055774,2.06999476496783
2059,7157.54340567254,277226.952130405,22928.1337770009,72121.4826629758,7.89326087337361,2.51241318171136
2060,7030.66878413595,283462.702425275,21792.7898107059,68634.2637306750,9.20022499825027,3.17000585655131
2061,6898.46210571751,289698.452720143,20603.2769983392,65025.1027925909,11.3504390491015,4.25039267352954
2062,6760.92337041348,295934.203015011,19359.5953398291,61293.9998486638,15.5430761488121,6.35491758414960
2063,6618.05257822573,302169.953309879,18061.7448352324,57440.9548990428,27.3014406638388,12.2533168937210
2064,6469.84972914867,308405.703604748,16709.7254844941,53465.9679436386,254.302626607318,126.088004760957
2065,6316.31482319348,314641.453899616,15303.5372876879,49369.0389824212,-28.4116897241767,-15.6809077540440
2066,6157.44786035269,320877.204194484,13843.1802447345,45150.1680154800,-12.0732810314676,-7.48594808938030
2067,5993.24884062633,327112.954489352,12328.6543556899,40809.3550427854,-7.04108385476663,-4.96068694119979
2068,5823.71776401810,333348.704784222,10759.9596205214,36346.6000642478,-4.59718431672211,-3.73340967676739
2069,5648.85463052429,339584.455079090,9137.09603926353,31761.9030800164,-3.15385273303370,-3.00792645961822
2070,5468.65944014676,345820.205373958,7460.06361189298,27055.2640900016,-2.20148583623580,-2.52868823066110
2071,5283.13219288550,352055.955668828,5728.86233839020,22226.6830941737,-1.52630244492603,-2.18848990061641
2072,5092.27288874052,358291.705963695,3943.49221877474,17276.1600926220,-1.02289379094383,-1.93447123910245
2073,4896.08152770996,364527.456258563,2103.95325310156,12203.6950852871,-0.633276453783300,-1.73755416120148
2074,4694.55810979567,370763.206553431,210.245441256091,7009.28807213902,-0.322917606937313,-1.58042026675725
2075,4487.70263499767,376998.956848301,-1737.63121664710,1692.93905329704,-0.0699686369713433,-1.45211189236102
2076,4275.51510331035,383234.707143169,-3739.67672066949,-3745.35197132826,0.140068565804830,-1.34535744833957
2077,4057.99551474303,389470.457438037,-5795.89107082691,-9305.58500179648,0.317192730973166,-1.25514168129741
2078,3835.14386929199,395706.207732907,-7906.27426706348,-14987.7600379586,0.468522805285288,-1.17789350206206
2079,3606.96016695723,401941.958027774,-10070.8263094658,-20791.8770799041,0.599264954140027,-1.11100106661821
2080,3373.44440773875,408177.708322642,-12289.5471979333,-26717.9361276627,0.713314441667477,-1.05250995221781
2081,3134.59659163468,414413.458617510,-14562.4369325116,-32765.9371811450,0.813643706466779,-1.00092854870687
2082,2890.41671864688,420649.208912380,-16889.4955131961,-38935.8802403808,0.902560287163660,-0.955098715572937
2083,2640.90478877537,426884.959207248,-19270.7229400054,-45227.7653054595,0.981882825365761,-0.914107520359796
2084,2386.06080201827,433120.709502116,-21706.1192129413,-51641.5923762321,1.05306397653205,-0.877225600945054
2085,2125.88475837745,439356.459796984,-24195.6843319731,-58177.3614527881,1.11727801883588,-0.843863230678168
2086,1860.37665785290,445592.210091854,-26739.4182970859,-64835.0725351572,1.17548444855150,-0.813538425491095
2087,1589.53650044091,451827.960386721,-29337.3211083570,-71614.7256232500,1.22847490542831,-0.785853410580524
2088,1313.36428614892,458063.710681589,-31989.3927656999,-78516.3207171261,1.27690831239165,-0.760476997269431
2089,1031.86001497135,464299.460976459,-34695.6332691628,-85539.8578168154,1.32133754412011,-0.737131207960569
2090,745.023686910048,470535.211271327,-37456.0426187441,-92685.3369221985,1.36222991482786,-0.715581000621572
2091,452.855301965028,476770.961566195,-40270.6208143979,-99952.7580333650,1.39998309426103,-0.695626285970167
2092,155.354860134423,483006.711861063,-43139.3678562334,-107342.121150374,1.43493759933014,-0.677095661929231
2093,-147.477638579905,489242.462155933,-46062.2837441033,-114853.426273078,1.46738669112738,-0.659841449282538
2094,-455.642194177955,495478.212450800,-49039.3684781604,-122486.673401564,1.49758428497188,-0.643735723800792
2095,-769.138806659728,501713.962745668,-52070.6220582454,-130241.862535864,1.52575132375899,-0.628667119040492
2096,-1087.96747602709,507949.713040538,-55156.0444845110,-138118.993675888,1.55208095193630,-0.614538230650706
2097,-1412.12820227817,514185.463335406,-58295.6357568260,-146118.066821665,1.57674274539504,-0.601263494174255
2098,-1741.62098541670,520421.213630274,-61489.3958753115,-154239.081973284,1.59988619227156,-0.588767438545294
2099,-2076.44582543522,526656.963925142,-64737.3248398667,-162482.039130569,1.62164357497599,-0.576983239912404
2100,-2416.60272233933,532892.714220012,-68039.4226505524,-170846.938293695,1.64213237023660,-0.565851517208168
