时间,常驻人口总量,区域生产总值,一次能源中化石的能源消费量,一次能源中非化石的能源消费量,二次能源的能源消费量,化石能源发电的能源消费量,非化石能源发电的能源消费量,农林消费部门的碳排放量,工业消费部门的碳排放量,交通消费部门的碳排放量,建筑消费部门的碳排放量,居民生活消费部门的碳排放量,能源供应部门的碳排放量,碳排放量
2010,7933.49156880751,34032.6906305365,24513.4653168917,173.696752614342,134.016095213592,10895.6625573486,134.016095213592,939.074941331521,50043.4717589617,2742.10469622631,2409.12112604082,3729.67757306248,33451.8916922957,93315.3417878151
2011,8023.36801619269,40268.4409254063,25353.0232248604,207.264130373485,327.540473677218,11341.6893142164,327.540473677218,989.571167356335,50835.4987929463,3066.64152473584,2746.67914335802,4136.99342285097,34229.1690123826,96004.5530635118
2012,8105.83079740778,46504.1912202742,26104.4951372743,237.974343466572,536.691910080612,11726.3993008584,536.691910080612,1036.64366262406,51494.7020998001,3388.39174458664,3091.42113925889,4554.16997363418,34958.8881426752,98524.2167624235
2013,8180.87991244346,52739.9415151421,26767.8810540140,265.827391898260,761.470404438674,12049.7925172895,761.470404438674,1080.29242713470,52021.0816796422,3707.35535578150,3443.34711373597,4981.20722542703,35641.0490832329,100874.332884848
2014,8248.51536130905,58975.6918100119,27343.1809750497,290.823275666684,1001.87595676631,12311.8689635098,1001.87595676631,1120.51746088825,52414.6375324130,4023.53235832043,3802.45706679299,5418.10517819971,36275.6518339962,103054.901430547
2015,8308.73714399897,65211.4421048798,27830.3949005306,312.961994771846,1257.90856702626,12512.6286395192,1257.90856702626,1157.31876388472,52675.3696581721,4336.92275220063,4168.75099842995,5864.86383198202,36862.6963950098,105065.922399461
2016,8361.54526051506,71447.1923997477,28229.5228303373,332.243549212813,1529.56823524833,12652.0715453178,1529.56823524833,1190.69633612502,52803.2780568600,4647.52653742675,4542.22890864685,6321.48318675905,37402.1827662438,106907.395791888
2017,8406.93971086107,77682.9426946156,28540.5647644401,348.667938988656,1816.85496142507,12730.1976808906,1816.85496142507,1220.65017760824,52798.3627284169,4955.34371399321,4922.89079744369,6787.96324253827,37894.1109477282,108579.321607649
2018,8444.92049503140,83918.6929894853,28763.5207029581,362.235164102167,2119.76874555647,12747.0070462674,2119.76874555647,1247.18028833345,52660.6236730218,5260.37428190373,5310.73666482419,7264.30399931222,38338.4809394181,110081.699846625
2019,8475.48761302605,90154.4432843532,28898.3906458318,372.945224553347,2438.30958763510,12702.4996414185,2438.30958763510,1270.28666830249,52390.0608904958,5562.61824115925,5705.76651078835,7750.50545708835,38735.2927413732,111414.530509055
